time side pressure1 pressure2 pressure3 pressure4 pressure5 pressure6 pressure7 pressure8 pressure9 pressure10 pressure11 pressure12 pressure13 pressure14 pressure15 pressure16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
20610137 0 6 4 12 10 1 2 1 5 1 0 1 1 2 5 0 1 -0.23681640625 0.03125 0.97802734375 -37.310001373291016 86.30999755859375 -29.75 129 -0.14379796385765076 -0.08182066679000854 
20610148 0 8 4 13 11 1 2 1 8 1 1 1 1 2 5 0 1 -0.2333984375 0.03369140625 0.966796875 -1.3300000429153442 0.5600000023841858 -1.3300000429153442 152 -0.1412619948387146 -0.09435208141803741 
20602338 1 20 24 24 26 11 9 2 7 2 0 0 0 3 10 0 0 -0.22705078125 0.013671875 0.96533203125 -1.4700000286102295 -3.7100000381469727 1.2599999904632568 337 -0.21107377111911774 -0.0662752240896225 
20602348 1 20 24 24 26 11 9 2 7 2 0 0 0 3 11 0 0 -0.2333984375 0.005859375 0.96728515625 -1.5399999618530273 -4.059999942779541 1.190000057220459 339 -0.20748193562030792 -0.06487030535936356 
20610157 0 8 6 14 11 2 3 0 9 2 1 1 1 2 6 0 1 -0.24072265625 0.0341796875 0.95947265625 -1.2599999904632568 0.49000000953674316 -1.1200000047683716 169 -0.13839437067508698 -0.09708176553249359 
20610167 0 11 7 16 12 2 4 0 8 2 1 1 2 2 8 0 1 -0.232421875 0.0361328125 0.9638671875 -1.190000057220459 0.9100000262260437 -1.190000057220459 191 -0.1434909552335739 -0.0806928277015686 
20602359 1 20 24 24 26 11 9 2 7 2 0 0 0 1 11 0 0 -0.2265625 0.00634765625 0.9619140625 -1.399999976158142 -4.130000114440918 1.2599999904632568 335 -0.2119685709476471 -0.060147203505039215 
20602368 1 17 23 24 26 11 8 2 6 1 0 0 0 2 10 0 0 -0.23046875 0.0068359375 0.96435546875 -1.3300000429153442 -4.059999942779541 1.3300000429153442 317 -0.21485161781311035 -0.0650724545121193 
20602378 1 16 23 24 26 12 7 3 6 2 0 0 0 2 9 0 0 -0.23193359375 0.0107421875 0.970703125 -1.3300000429153442 -3.990000009536743 1.3300000429153442 319 -0.20943206548690796 -0.058688901364803314 
20610180 0 12 8 15 12 2 5 1 9 2 1 1 2 3 7 0 1 -0.23583984375 0.04296875 0.97412109375 -1.1200000047683716 1.2599999904632568 -1.1200000047683716 202 -0.1441110372543335 -0.08989579230546951 
20610187 0 11 8 18 12 2 7 1 9 2 1 1 1 2 6 0 1 -0.21923828125 0.0400390625 0.96044921875 -1.3300000429153442 1.3300000429153442 -1.190000057220459 206 -0.1582717001438141 -0.08646992594003677 
20602388 1 17 23 24 26 13 10 3 6 3 0 0 0 2 9 0 0 -0.23193359375 0.0126953125 0.9658203125 -1.2599999904632568 -4.199999809265137 1.399999976158142 334 -0.20472733676433563 -0.0584016814827919 
20610198 0 11 8 18 12 2 7 1 10 2 1 1 2 2 9 0 1 -0.228515625 0.03662109375 0.97021484375 -1.0499999523162842 1.399999976158142 -0.9800000190734863 218 -0.13654038310050964 -0.08655676245689392 
20602400 1 19 23 23 25 12 10 2 6 2 0 0 1 3 10 0 0 -0.2353515625 0.005859375 0.966796875 -1.2599999904632568 -4.619999885559082 1.5399999618530273 331 -0.20533283054828644 -0.06572920829057693 
20602408 1 18 22 23 25 12 8 2 6 2 0 0 1 2 11 0 0 -0.23388671875 0.01220703125 0.9697265625 -0.9800000190734863 -4.760000228881836 1.6800000667572021 322 -0.201890766620636 -0.05922749638557434 
20610208 0 11 10 17 12 2 6 1 10 2 1 0 2 2 10 1 1 -0.2265625 0.037109375 0.96484375 -0.9800000190734863 1.6800000667572021 -0.7699999809265137 219 -0.13331328332424164 -0.08529601246118546 
20610219 0 11 11 17 11 2 6 1 9 2 1 1 2 3 9 0 1 -0.2255859375 0.03125 0.970703125 -1.1200000047683716 2.0999999046325684 -0.9800000190734863 215 -0.14045676589012146 -0.08575659990310669 
20610228 0 11 12 16 13 2 7 1 9 2 1 1 2 2 8 0 1 -0.22509765625 0.037109375 0.9716796875 -1.2599999904632568 2.6600000858306885 -0.9800000190734863 218 -0.15294499695301056 -0.09282824397087097 
20610238 0 11 12 15 14 2 7 1 10 1 1 1 2 3 7 0 0 -0.2333984375 0.03662109375 0.970703125 -1.5399999618530273 3.0799999237060547 -1.0499999523162842 218 -0.16162438690662384 -0.1108543649315834 
20610248 0 11 10 15 13 3 8 1 10 2 1 1 2 3 8 1 1 -0.2255859375 0.0322265625 0.97021484375 -1.6800000667572021 3.2899999618530273 -1.1200000047683716 224 -0.13533484935760498 -0.10158730298280716 
20602418 1 16 23 23 26 11 8 2 6 2 0 0 0 2 11 0 0 -0.23193359375 0.0107421875 0.9697265625 -0.7699999809265137 -5.039999961853027 1.8200000524520874 317 -0.20472121238708496 -0.06291433423757553 
